RXCUI,Ingredient,Strength,Treats,Order Limit (avg),Pills per Clinic (by charge),Item Description,NDC,Order Date,Items per Package,Number of Packages,Total Items in Order,Price per Unit,Price per Package,Total Order Cost
200033,carvedilol,25 MG,"['Angina Pectoris', 'Heart Failure', 'Hypertension', 'Myocardial Infarction']",57,-1,CARVEDILOL TAB 25MG GLEN 500,68462016505,2016-08-30,500,2,1000,$0.024,$12.15,$24.30
200033,carvedilol,25 MG,"['Angina Pectoris', 'Heart Failure', 'Hypertension', 'Myocardial Infarction']",57,45.45454545454545,CARVEDILOL TAB 25MG GLEN 500,68462016505,2016-06-14,500,2,1000,$0.024,$12.15,$24.30
200033,carvedilol,25 MG,"['Angina Pectoris', 'Heart Failure', 'Hypertension', 'Myocardial Infarction']",57,125.0,CARVEDILOL TAB 25MG GLEN 500,68462016505,2016-05-31,500,1,500,$0.024,$12.15,$12.15
200033,carvedilol,25 MG,"['Angina Pectoris', 'Heart Failure', 'Hypertension', 'Myocardial Infarction']",57,44.87179487179487,CARVEDILOL TB 25MG GLEN 100@,68462016501,2016-02-04,100,15,1500,$0.025,$2.46,$36.90
200033,carvedilol,25 MG,"['Angina Pectoris', 'Heart Failure', 'Hypertension', 'Myocardial Infarction']",57,67.3076923076923,CARVEDILOL TB 25MG GLEN 100@,68462016501,2015-12-14,100,10,1000,$0.025,$2.46,$24.60
310537,Glyburide,5 MG,"['Diabetes Mellitus, Type 2']",77,-1,GLYBURIDE M TB 5MG UDSKY10X10@,63739011910,2016-08-16,100,8,800,$0.101,$10.09,$80.72
310537,Glyburide,5 MG,"['Diabetes Mellitus, Type 2']",77,35.714285714285715,GLYBURIDE M TAB 5MG TEV 1000@,00093834410,2016-05-10,1000,1,1000,$0.162,$162.07,$162.07
310537,Glyburide,5 MG,"['Diabetes Mellitus, Type 2']",77,583.3333333333334,GLYBURIDE M TAB 5MG TEV 1000@,00093834410,2016-05-04,1000,1,1000,$0.162,$162.07,$162.07
310537,Glyburide,5 MG,"['Diabetes Mellitus, Type 2']",77,54.6875,GLYBURIDE M TB 5MG UDSKY10X10@,63739011910,2016-03-01,100,10,1000,$0.102,$10.21,$102.10
310537,Glyburide,5 MG,"['Diabetes Mellitus, Type 2']",77,286.3636363636364,GLYBURIDE M TB 5MG UDSKY10X10@,63739011910,2016-02-19,100,9,900,$0.102,$10.21,$91.89
310537,Glyburide,5 MG,"['Diabetes Mellitus, Type 2']",77,112.9032258064516,GLYBURIDE M TAB 5MG TEV  1000@,00093834410,2016-01-19,1000,1,1000,$0.164,$163.66,$163.66
310537,Glyburide,5 MG,"['Diabetes Mellitus, Type 2']",77,74.46808510638297,GLYBURIDE M TAB 5MG TEV 1000@,00093834410,2015-12-03,1000,1,1000,$0.141,$141.37,$141.37
