"dg-description","dg-ndc","dg-strength","dg-search-code","dg-supplier-code","dg-description-generic","dg-dispensing-units","dg-dea-class","dg-pkg-size-units","dg-standard-qty","dg-lot-nbr","dg-price(1)","dg-price(2)","dg-price(3)","dg-price(4)","dg-price(5)","dg-price(6)","dg-price(7)","dg-price(8)","dg-price(9)","dg-acquis-percent-of-awp","dg-fee-schedule","dg-tax-schedule","dg-compound-code","dg-drug-type-override","dg-hot-list-code","dg-unit-dose-code","dg-exception-price-percent","dg-exception-drug-y-n","dg-exception-prorate-y-n","dg-special-price-y-n","dg-external-use-y-n","dg-generic-y-n","dg-jobber-y-n","dg-maintenance-y-n","dg-inactive-code","dg-pkg-insert-y-n","dg-price-poster-qty","dg-state-code","dg-state-generic-y-n","dg-alt-product-code","dg-alt-product-type","dg-generic-ind","dg-generic-price-ind","dg-3pty-conv-factor","dg-comments","dg-date-last-change","dg-orange-book-code-fdb","dg-days-till-expires","dg-nbr-disp-pkgs","dg-message-nbr","dg-pkg-size-dec-metric","dg-obsolete-date","dg-ndc-new","dg-ndc-prev","dg-drug-form-code","dg-location-id","dg-location-device-id","dg-monitor-refills-y-n","dg-insulin-syringe","dg-non-insulin-syringe","dg-injectable-non-insulin","dg-otc","dg-state-restricted","dg-fertility","dg-vitamin","dg-desi-drug","dg-cosmetic-indications","dg-aids-related-drug","dg-smoking-deterrent","dg-fluoride","dg-ostomy-supplies","dg-topical-contraceptive","dg-misc-diabetic-supplies","dg-needle","dg-laxative","dg-insulin","dg-hematinic","dg-antacid","dg-diagnostic","dg-antiobesity-drug","dg-oral-contraceptive","dg-anti-anexiety-agent","dg-orange-book-code","dg-generic-code-seq-nbr","dg-preferred-product-code","dg-fdb-hic3-code","dg-skip-generic-disp-y-n","dg-nbr-of-doses-in-container","dg-date-last-update","dg-new-drug-y-n","dg-date-record-added","dg-time-record-added","dg-date-last-dispensed","dg-price-date-last-update(1)","dg-price-date-last-update(2)","dg-price-date-last-update(3)","dg-price-date-last-update(4)","dg-price-date-last-update(5)","dg-price-date-last-update(6)","dg-price-date-last-update(7)","dg-price-date-last-update(8)","dg-price-date-last-update(9)","dg-maintain-inventory-y-n","dg-maintain-0-on-hand-qty","dg-qty-on-hand-desired","dg-qty-on-hand","dg-qty-on-order","dg-qty-reorder","dg-reorder-point","dg-reorder-method-code","dg-meth2-min-days-sup","dg-meth2-max-days-sup","dg-meth2-min-reorder-qty","dg-meth2-max-reorder-qty","dg-date-ordered","dg-purchase-order-nbr","dg-inv-adj-percent","dg-inv-buffer-qty","dg-adjust-reorder-point","dg-inv-months-back","dg-inv-months-forward","dg-monthly-qty(1)","dg-monthly-qty(2)","dg-monthly-qty(3)","dg-monthly-qty(4)","dg-monthly-qty(5)","dg-monthly-qty(6)","dg-monthly-qty(7)","dg-monthly-qty(8)","dg-monthly-qty(9)","dg-monthly-qty(10)","dg-monthly-qty(11)","dg-monthly-qty(12)","dg-monthly-qty(13)","dg-monthly-rxs(1)","dg-monthly-rxs(2)","dg-monthly-rxs(3)","dg-monthly-rxs(4)","dg-monthly-rxs(5)","dg-monthly-rxs(6)","dg-monthly-rxs(7)","dg-monthly-rxs(8)","dg-monthly-rxs(9)","dg-monthly-rxs(10)","dg-monthly-rxs(11)","dg-monthly-rxs(12)","dg-monthly-rxs(13)","dg-date-dg-usage-rolled","dg-lot-date-expires","dg-warehouse-drug-y-n","dg-manual-or-fdb-drug","dg-ndc-configuration-ind","dg-drug-of-choice-ndc","dg-dummy-warehouse-y-n","dg-supplier-of-drug","dg-generic-code-nbr","dg-sup1-pkg-size","dg-sup2-pkg-size","dg-supplier-code-2","dg-supplier-of-drug-2","dg-route-code","dg-fdb-dosage-form-desc","dg-ingredient-message","dg-automed-dispensed-y-n","dg-code1-product-y-n","dg-record-type"
"**ADVAIR HFA 230/21 MCG INHALG","00173071700","230-21MCG",,,"FLUTICASONE/SALMETEROL","GM","06","00012",,,"00039.1842","00039.1842","00039.1842",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y",,,,"00173071700",,,,"2","9","0001",,,"ZC",,,,"00012.0000",,"00173071720",,"3",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,"02","J5G",,,"03032015","N","10142016","00001458",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"00","0097137",,,,,,,,,,"01"
"**ADVAIR HFA 45/21 MCG INHALEG","00173071500","45-21MCG",,,"FLUTICASONE/SALMETEROL","GM","06","00012",,,"00023.9783","00023.9783","00023.9783",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y",,,,"00173071500",,,,"2","9","0001",,,"ZC",,,,"00012.0000",,"00173071520",,"3",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,"02","J5G",,,"03032015","N","10142016","00001450",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"00","0097135",,,,,,,,,,"01"
"**COLCRYS 0.6 MG TABLET AR","13310011901","0.6",,,"COLCHICINE","TA","06","00100",,,"00007.1854","00007.1854","00006.6802",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y",,,,"13310011901",,,,"1","9","0001",,,"ZC",,,,"00100.0000",,"64764011901",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,"02","S2A",,,"09222015","N","10142016","00001516",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,"00","0035674",,,,,,,,,,"01"
"**D","30000000041",,,,,"TA","06","00028",,,"01350.0000","01350.0000","01350.0000",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","61958180101","10242016",,,,,"00028.0000",,"03000000041",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00002039","10152016",,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10152016",,,,,,,"00",,,,,,,,,,,"01"
"**ENOXAPARIN 80 MG/0.8 ML SYRW","62037086220","80MG/0.8ML",,,"ENOXAPARIN SODIUM","ML","06","00001",,,"00144.0000","00650.2500","00144.0000",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,,"AP",,,,"00000.8000",,"00548560400",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,"M9K",,,"05032017","N","10152016","00000400",,,,,,,,,,,"N",,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"01","0062772",,,,,,"HQ",,,,"01"
"**ETODOLAC 400 MG TABLET SAN","00185014001","400",,,"ETODOLAC","TA","06","00100",,,"00001.3238","00001.3238","00001.3238",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"02252017","AB",,,,"00100.0000",,"00185067501",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,"S2B",,,"05032017","N","10152016","00000430",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"01","0061761",,,,,,"TA",,,,"01"
"**NITROFURANTOIN MCR 50 MG CAT","00093213001","50",,,"NITROFURANTOIN MACROCRYSTAL","CA","06","00100",,,"00002.1340","00001.2060","00002.1340",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,,"AB",,,,"00100.0000",,"00115164301",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,"01","W2F",,,"05032017","N","10152016","00000437",,,,,,,,,,,"N",,,,,"0000100",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"01","0041822",,,,,,"CA",,,,"01"
"**OMEPRAZOLE DR 20 MG CAPSULEG","68462023110","20",,,"OMEPRAZOLE","CA","06","01000",,,"00004.3002","00004.3002","00004.3002",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"01192017","AB",,,,"01000.0000",,"68462039610",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,"D4J",,,"05032017","N","10152016","00000437","01102017",,,,,,,,,,"Y",,,"0000041",,,,"1",,,,,,"2000000",,,,,,,,,,,,,,,,,"000000283","000000060",,,,,,,,,,,,"0000004","0000001","01102017",,,,"2",,,"01","0004348",,,,,,"CE",,,,"01"
"**OMEPRAZOLE DR 40 MG CAPSULEG","68462023210","40",,,"OMEPRAZOLE","CA","06","01000",,,"00007.3953","00007.3953","00007.3953",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,,"AB",,,,"01000.0000",,"68462039710",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,"01","D4J",,,"05032017","N","10142016","00000246",,,,,,,,,,,"N",,,,,"0003000",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,"01","0092999",,,,,,"CE",,,,"01"
"**PAP-**ADVAIR HFA 230/21 MCG","30000000006",,,,,"GM","06","00012",,,"00039.1842","00039.1842","00039.1842",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00173071700","10242016",,,,,"00012.0000",,"03000000006",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00001953",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
